RecordID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Fach|Signatur|URL
001385213|Abels, Heinz|Einführung in die Soziologie|3. Auflage|2007|978-3-531-90594-5|ger|cofz , text , lb06  BSO ,|MQ 1200 A141-1|http://dx.doi.org/10.1007/978-3-531-90594-5
001386041|Abels, Heinz|Einführung in die Soziologie|3. Auflage|2007|978-3-531-90595-2|ger|cofz , text , lb06  BSO ,|MQ 1200 A141-2|http://dx.doi.org/10.1007/978-3-531-90595-2
001619567|Adams, Gabriele|Mathematik zum Studieneinstieg|6., korr. Aufl. 2013|2013|978-364-24005-6-8|ger|cofz , text , lb11  BSO ,|SK 110 A213(6)|http://dx.doi.org/10.1007/978-3-642-40056-8
001682313|Aguinis, Herman|Performance management|3. ed., international ed.|2013|978-0-13-297435-6|eng|cofz , text , lb08  BSO ,|QP 415 A283(3e)|http://www.myilibrary.com?id=527058
001497755|Akremi, Leila|Datenanalyse mit SPSS für Fortgeschrittene 1|3., überarb. und erw. Aufl.|2011|978-3-531-93041-1|ger|cofz , text , lb06  BSO ,|MR 2200 F932-1(3)|http://dx.doi.org/10.1007/978-3-531-93041-1
001700048|Albrecht, Peter|Grundprinzipien der Finanz- und Versicherungsmathematik||2007|978-3-7910-2632-9|ger|cofz , text , lb11  BSO ,|SK 980 A341 G889|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10556022
001700044|Albrecht, Peter|Investment- und Risikomanagement|3., überarb. und erw. Aufl.|2008|978-3-7910-2827-9|ger|cofz , text , lb08  BSO ,|QK 530 A341|http://site.ebrary.com/lib/unimannheim/docDetail.action?docID=10773092
001599035|Ambrosius, Gerold|Staat und Wirtschaft im 20. Jahrhundert||1990|978-3-486-70177-7|ger|cofz , text , lb34  BSO ,|NB 2000 A496|http://dx.doi.org/10.1524/9783486701777
001384857|Amelang, Manfred|Psychologische Diagnostik und Intervention|4., vollstäNdig überarbeitete und erweiterte Auflage|2006|978-3-540-28507-6|ger|cofz , text , lb03  BSO ,|CS 1000 A498(4)|http://dx.doi.org/10.1007/3-540-28507-5
001600530|Ammon, Ulrich|Die deutsche Sprache in Deutschland, Österreich und der Schweiz||1995|3-11-014753-X|ger|cofz , text , lb29  BSO ,|GD 1025 A521|http://www.degruyter.com/viewbooktoc/product/45777
