Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
001612093|Aaker, David A.|Brand leadership||2009|978-1-84739-835-2|eng|110 QP 624 A111(e)|08
000759783|Abbott, Horace Porter|The Cambridge introduction to narrative|1. publ., Repr.|2003|0-521-65033-X|eng|110 EC 7000 A131|27
001412234|Abbott, Stephen|Understanding analysis|Corr. 2. pr.|2002|0-387-95060-5|eng|110 SK 400 A131|11
001289439|Abelson, Harold|Struktur und Interpretation von Computerprogrammen|4., durchges. Aufl.|2001|3-540-42342-7|ger|110 ST 240 A141|12
001373832|Abraham, Martin|Arbeitsmarktsoziologie|2. Aufl.|2008|978-3-531-16126-6|ger|110 MS 4800 A159(2)|06
001402931|Abrams, Meyer H.|The Norton anthology of English literature|8. ed.|2006|0-393-92713-X|eng|110 HG 770 A161-1|28
001402936|Abrams, Meyer H.|The Norton anthology of English literature|8. ed.|2006|0-393-92715-6|eng|110 HG 770 A161-2|28
001577712|Abts, Dietmar|Grundkurs JAVA|6., erw. Aufl.|2010|978-3-8348-1277-3|ger|110 ST 250 J41 A164(6)|12
001387126|Acemo\x{011f}lu, Daron|Introduction to modern economic growth||2009|978-0-691-13292-1|eng|110 QC 340 A173|08
001548302|Acock, Alan C.|A gentle introduction to Stata|Rev. 3. ed.|2012|978-1-59718-109-9|eng|110 MR 2200 A185(3e)|06
001683472|Aczel, Richard|How to write an essay|1. Aufl.|2014|978-3-12-939021-4|eng|110 HD 226 A189|28
001635242|Adams, Gabriele|Mathematik zum Studieneinstieg|6., korr. Aufl.|2013|978-3-642-40055-1|ger|110 SK 110 A213(6)|11
000865398|Adamzik, Kirsten|Sprache: Wege zum Verstehen|2., überarb. Aufl|2004|3-8252-2172-5|ger|110 ER 700 A221|27
001681564|Agbaria, Evelyn|PONS Wörterbuch Studienausgabe Englisch - Deutsch, Deutsch - Englisch|Neubearb. 2011, 1. Aufl.|2011|978-3-12-517594-5|eng|110 AH 16110 S355|01
001687175|Aguinis, Herman|Performance management|3. ed., new internat. ed.|2014|1-292-02407-0|eng|110 QP 415 A283(3e)|08
001501238|Ahlt, Michael|Europarecht|4., neu bearb. Aufl.|2011|978-3-406-59650-6|ger|110 PS 2500 A285(4)|09
001348955|Aho, Alfred V.|Compiler|2., aktualisierte Aufl.|2008|978-3-8273-7097-6|ger|110 ST 255 A286|12
001163913|Aitchison, Jean|Wörter im Kopf||1997|3-484-22056-2|ger|110 ER 940 A311|27
001554744|Akremi, Leila|Datenanalyse mit SPSS für Fortgeschrittene|3., völlig überarb. und erw. Aufl.|2011|978-3-531-17015-2|ger|110 MR 2200 F932-1(3)|06
001012872|Albersmeier, Franz-Josef|Texte zur Theorie des Films|4. Aufl., (unveränd. Nachdr.)|2001|3-15-009943-9|ger|110 AP 45100 A332|25
001490506|Albrecht, Peter|Finanzmathematik für Wirtschaftswissenschaftler|2., überarb. Aufl.|2011|978-3-7910-3075-3|ger|110 SK 980 A341(2)|11
001245070|Albrecht, Peter|Grundprinzipien der Finanz- und Versicherungsmathematik||2007|978-3-7910-2632-9|ger|110 SK 980 A341 G889|11
001362113|Albrecht, Peter|Investment- und Risikomanagement|3., überarb. und erw. Aufl.|2008|978-3-7910-2827-9|ger|110 QK 530 A341(3)|08
000819599|Albrecht, Wolfgang|Literaturkritik||2001|3-476-10338-2|ger|110 GN 2005 A341|27
001057700|Allkemper, Alo|Literaturwissenschaft||2004|3-7705-3964-8|ger|110 EC 1600 A439|27
001431190|Allweyer, Thomas|BPMN 2.0 - Business Process Model and Notation|2., aktual. u. erw. Aufl.|2009|978-3-8391-2134-4|ger|110 SR 870 A442(2)|12
001115761|Alt, Peter-André|Aufklärung|2., durchges. Aufl.|2001|3-476-01853-9|ger|110 GI 1743 A465(2)|29
001378268|Alt, Peter-André|Aufklärung|3., aktualis. Aufl|2007|978-3-476-02236-3|ger|110 GI 1743 A465(3)|29
001343338|Altmann, Hans|Phonetik, Phonologie und Graphemik fürs Examen|2., überarb. u. erg. Aufl|2007|3-525-26545-X|ger|110 ET 200 A468|27
000853608|Altmann, Hans|Wortbildung fürs Examen||2000|3-531-13450-7|ger|110 GC 6728 A468|27
001579572|Amann, Herbert|Analysis|3. Aufl., 2. Nachdr.|2010|978-3-7643-7755-7|ger|110 SK 400 A484-1(3)|11
001203289|Ambrosius, Gerold|Moderne Wirtschaftsgeschichte|2., überarb. und erw. Aufl.|2006|3-486-57878-2|ger|110 NB 2200 A496(2)|34
001265564|Ambrosius, Gerold|Staat und Wirtschaft im 20. Jahrhundert||1990|3-486-55481-6|ger|110 NB 2000 A496|34
001132772|Ammon, Ulrich|Die deutsche Sprache in Deutschland, Österreich und der Schweiz||1995|3-11-014753-X|ger|110 GD 1025 A521|29
001285250|Andermann, Ulrich|Duden - Wie verfasst man wissenschaftliche Arbeiten?|3., völlig neu erarb. Aufl.|2006|3-411-05113-2|ger|110 AK 39540 A543(3)|01
001336759|Andersen, Uwe|Handwörterbuch des politischen Systems der Bundesrepublik Deutschland|6. Aufl.|2009|3-531-15727-2|ger|110 MG 15000 A544|07
001639520|Anderson, John R.|Kognitive Psychologie|7., erw. u. überarb., neu gestaltete Aufl.|0|978-3-642-37391-6|ger|110 CP 4000 A547(7)|03
001182276|Anderson, Oskar|Schätzen und Testen|2., vollst. überarb. und erw. Aufl.|1997|3-540-62875-4|ger|110 SK 800 A548|11
001261750|Andreß, Hans-Jürgen|Analyse von Tabellen und kategorialen Daten||1997|3-540-62515-1|ger|110 SK 840 A561|11
001383646|Angrist, Joshua David|Mostly harmless econometrics||2009|978-0-691-12035-5|eng|110 QH 300 A593|08
000943534|Anstatt, Tanja|Mehrsprachigkeit bei Kindern und Erwachsenen||2007|978-3-89308-393-0|ger|110 ER 930 A624|27
001378287|Anz, Thomas|Literaturkritik|4. Aufl., Orig.-Ausg.|2007|978-3-406-51095-3|ger|110 GE 6399 A637|29
001522209|Arens, Peter|Zivilprozessrecht|10., neu bearb. Aufl. / von Wolfgang Lüke|2011|978-3-406-61571-9|ger|110 PG 455 A681(10)|09
001145157|Arndt, Hans-Wolfgang|Besonderes Verwaltungsrecht|8., neu bearb. und erw. Aufl.|2006|3-8114-8038-3|ger|110 PN 280 S822(8)|09
001465436|Arndt, Hans-Wolfgang|Europarecht|10., völlig neu bearb. Aufl.|2010|978-3-8114-9634-7|ger|110 PS 2500 A747(10)|09
001275901|Arndt, Hans-Wolfgang|Grundzüge des Allgemeinen Steuer- und Abgabenrechts|2., überarb. und erw. Aufl.|2005|3-8006-2556-3|ger|110 PP 3020 A747 A435|09
001567789|Arndt, Hans-Wolfgang|Öffentliches Recht|16., überarb. Aufl.|2013|978-3-8006-4193-2|ger|110 PL 375 A747(16)|09
001351251|Aronson, Elliot|Sozialpsychologie|6., aktual. Aufl.|2008|978-3-8273-7359-5|ger|110 CV 1000 A769(6)|03
000868442|Artin, Michael|Algebra|Unveränd. Nachdr.|1998|3-7643-5938-2|ger|110 SK 200 A791|11
